Orthogroup	Arabidopsis	Hap1_v1.5_protein_chr16	Hap1_v1.5_protein_chr8	Total
OG0000000	0	418	0	418
OG0000001	0	124	0	124
OG0000002	0	0	116	116
OG0000003	114	0	0	114
OG0000004	112	0	0	112
OG0000005	0	0	95	95
OG0000006	0	85	0	85
OG0000007	0	5	79	84
OG0000008	0	80	1	81
OG0000009	0	0	81	81
OG0000010	0	18	58	76
OG0000011	0	75	0	75
OG0000012	0	73	0	73
OG0000013	0	1	72	73
OG0000014	0	1	71	72
OG0000015	0	33	38	71
OG0000016	0	0	71	71
OG0000017	0	0	71	71
OG0000018	4	37	29	70
OG0000019	0	70	0	70
OG0000020	69	0	0	69
OG0000021	69	0	0	69
OG0000022	0	68	1	69
OG0000023	0	69	0	69
OG0000024	0	0	68	68
OG0000025	0	67	0	67
OG0000026	66	0	0	66
OG0000027	0	66	0	66
OG0000028	0	65	0	65
OG0000029	0	65	0	65
OG0000030	0	0	65	65
OG0000031	0	1	63	64
OG0000032	0	59	4	63
OG0000033	0	62	0	62
OG0000034	0	29	31	60
OG0000035	0	0	60	60
OG0000036	0	59	0	59
OG0000037	0	0	59	59
OG0000038	58	0	0	58
OG0000039	58	0	0	58
OG0000040	0	56	0	56
OG0000041	0	6	50	56
OG0000042	0	0	55	55
OG0000043	0	13	41	54
OG0000044	0	0	54	54
OG0000045	0	51	1	52
OG0000046	0	0	52	52
OG0000047	1	25	25	51
OG0000048	0	47	4	51
OG0000049	0	2	49	51
OG0000050	0	0	51	51
OG0000051	12	20	18	50
OG0000052	1	26	23	50
OG0000053	49	0	0	49
OG0000054	0	49	0	49
OG0000055	48	0	0	48
OG0000056	48	0	0	48
OG0000057	0	3	45	48
OG0000058	0	0	48	48
OG0000059	0	12	35	47
OG0000060	0	46	0	46
OG0000061	0	46	0	46
OG0000062	0	0	46	46
OG0000063	1	21	22	44
OG0000064	0	43	1	44
OG0000065	0	43	1	44
OG0000066	0	4	40	44
OG0000067	0	1	42	43
OG0000068	0	0	43	43
OG0000069	3	20	19	42
OG0000070	0	42	0	42
OG0000071	0	40	2	42
OG0000072	0	42	0	42
OG0000073	0	7	35	42
OG0000074	0	1	41	42
OG0000075	0	0	42	42
OG0000076	41	0	0	41
OG0000077	1	21	19	41
OG0000078	0	3	38	41
OG0000079	0	1	39	40
OG0000080	39	0	0	39
OG0000081	0	39	0	39
OG0000082	0	39	0	39
OG0000083	0	20	19	39
OG0000084	0	20	19	39
OG0000085	0	0	39	39
OG0000086	38	0	0	38
OG0000087	1	12	25	38
OG0000088	0	38	0	38
OG0000089	0	31	7	38
OG0000090	37	0	0	37
OG0000091	37	0	0	37
OG0000092	0	37	0	37
OG0000093	0	37	0	37
OG0000094	0	37	0	37
OG0000095	0	37	0	37
OG0000096	0	2	35	37
OG0000097	0	0	37	37
OG0000098	0	0	37	37
OG0000099	0	0	37	37
OG0000100	36	0	0	36
OG0000101	0	36	0	36
OG0000102	0	36	0	36
OG0000103	0	36	0	36
OG0000104	0	36	0	36
OG0000105	0	1	35	36
OG0000106	0	0	36	36
OG0000107	0	0	36	36
OG0000108	1	11	23	35
OG0000109	0	35	0	35
OG0000110	0	34	1	35
OG0000111	0	13	22	35
OG0000112	34	0	0	34
OG0000113	34	0	0	34
OG0000114	12	11	11	34
OG0000115	0	14	20	34
OG0000116	0	34	0	34
OG0000117	0	30	4	34
OG0000118	0	12	22	34
OG0000119	0	0	34	34
OG0000120	0	33	0	33
OG0000121	0	16	17	33
OG0000122	0	1	32	33
OG0000123	0	0	33	33
OG0000124	0	0	33	33
OG0000125	0	0	33	33
OG0000126	1	11	20	32
OG0000127	0	31	1	32
OG0000128	0	32	0	32
OG0000129	0	32	0	32
OG0000130	0	31	1	32
OG0000131	0	1	31	32
OG0000132	0	0	32	32
OG0000133	0	30	1	31
OG0000134	0	10	21	31
OG0000135	0	31	0	31
OG0000136	0	31	0	31
OG0000137	0	4	27	31
OG0000138	0	31	0	31
OG0000139	0	0	31	31
OG0000140	0	0	31	31
OG0000141	0	30	0	30
OG0000142	0	17	13	30
OG0000143	0	2	28	30
OG0000144	0	0	30	30
OG0000145	7	10	12	29
OG0000146	9	10	10	29
OG0000147	3	12	14	29
OG0000148	0	29	0	29
OG0000149	0	29	0	29
OG0000150	0	13	16	29
OG0000151	0	8	21	29
OG0000152	0	1	28	29
OG0000153	0	0	29	29
OG0000154	28	0	0	28
OG0000155	1	13	14	28
OG0000156	0	13	15	28
OG0000157	0	10	18	28
OG0000158	0	9	19	28
OG0000159	0	25	3	28
OG0000160	0	25	3	28
OG0000161	0	0	28	28
OG0000162	0	0	28	28
OG0000163	8	9	10	27
OG0000164	0	27	0	27
OG0000165	0	27	0	27
OG0000166	0	2	25	27
OG0000167	0	14	13	27
OG0000168	0	27	0	27
OG0000169	0	14	13	27
OG0000170	0	1	26	27
OG0000171	0	0	27	27
OG0000172	26	0	0	26
OG0000173	6	10	10	26
OG0000174	26	0	0	26
OG0000175	4	11	11	26
OG0000176	1	7	18	26
OG0000177	0	26	0	26
OG0000178	0	17	9	26
OG0000179	0	26	0	26
OG0000180	0	26	0	26
OG0000181	0	26	0	26
OG0000182	0	4	22	26
OG0000183	0	26	0	26
OG0000184	0	12	14	26
OG0000185	0	1	25	26
OG0000186	0	0	26	26
OG0000187	25	0	0	25
OG0000188	25	0	0	25
OG0000189	25	0	0	25
OG0000190	25	0	0	25
OG0000191	6	9	10	25
OG0000192	1	5	19	25
OG0000193	0	16	9	25
OG0000194	0	20	5	25
OG0000195	0	15	10	25
OG0000196	0	23	2	25
OG0000197	0	23	2	25
OG0000198	0	24	1	25
OG0000199	0	25	0	25
OG0000200	0	4	21	25
OG0000201	0	7	18	25
OG0000202	0	1	24	25
OG0000203	0	0	25	25
OG0000204	24	0	0	24
OG0000205	8	8	8	24
OG0000206	1	15	8	24
OG0000207	0	24	0	24
OG0000208	0	23	1	24
OG0000209	0	6	18	24
OG0000210	0	24	0	24
OG0000211	0	1	23	24
OG0000212	0	1	23	24
OG0000213	0	0	24	24
OG0000214	8	6	9	23
OG0000215	23	0	0	23
OG0000216	23	0	0	23
OG0000217	4	9	10	23
OG0000218	11	6	6	23
OG0000219	3	9	11	23
OG0000220	23	0	0	23
OG0000221	8	6	9	23
OG0000222	0	16	7	23
OG0000223	0	23	0	23
OG0000224	0	22	1	23
OG0000225	0	16	7	23
OG0000226	0	4	19	23
OG0000227	0	11	12	23
OG0000228	0	4	19	23
OG0000229	0	11	12	23
OG0000230	0	0	23	23
OG0000231	0	0	23	23
OG0000232	0	0	23	23
OG0000233	0	0	23	23
OG0000234	22	0	0	22
OG0000235	1	17	4	22
OG0000236	2	10	10	22
OG0000237	2	2	18	22
OG0000238	22	0	0	22
OG0000239	2	6	14	22
