ID	unique_F3_id	cyanotype_pheno_PCR	exp_id	Trt	Rep	date	pixels_per_mm	leaf_area	number_of_photo	date_binned	exp_week
0001	DG_F3_004	acLi	1	Control	1	2021-09-30	10.4022	1530.7964436546188	1	2021-09-30	1
0002	DG_F3_007	Acli	1	Control	1	2021-09-30	10.4022	1519.0780291886708	1	2021-09-30	1
0003	DG_F3_008	Acli	1	Control	1	2021-09-30	10.4022	1328.0346034472886	1	2021-09-30	1
0004	DG_F3_009	AcLi	1	Control	1	2021-09-30	10.4022	1214.7042275830004	1	2021-09-30	1
0005	DG_F3_011	AcLi	1	Control	1	2021-09-30	10.4022	2278.5015231356683	1	2021-09-30	1
0006	DG_F3_013	AcLi	1	Control	1	2021-09-30	10.4022	1733.0037847547271	1	2021-09-30	1
0007	DG_F3_015	acLi	1	Control	1	2021-09-30	10.4022	1646.677515412126	1	2021-09-30	1
0008	DG_F3_017	acLi	1	Control	1	2021-09-30	10.4022	1562.578484150198	1	2021-09-30	1
0009	DG_F3_019	Acli	1	Control	1	2021-09-30	10.4022	1876.9147863822816	1	2021-09-30	1
0010	DG_F3_020	Acli	1	Control	1	2021-09-30	10.4022	2373.551911765221	1	2021-09-30	1
0011	DG_F3_022	acli	1	Control	1	2021-09-30	10.4022	1018.1989856354865	1	2021-09-30	1
0012	DG_F3_024	AcLi	1	Control	1	2021-09-30	10.4022	3031.372685965666	1	2021-09-30	1
0013	DG_F3_028	AcLi	1	Control	1	2021-09-30	10.4022	2764.6031654814	1	2021-09-30	1
0014	DG_F3_032	acLi	1	Control	1	2021-09-30	10.4022	1842.896266154242	1	2021-09-30	1
0015	DG_F3_033	acLi	1	Control	1	2021-09-30	10.4022	2794.509150664213	1	2021-09-30	1
0016	DG_F3_038	AcLi	1	Control	1	2021-09-30	10.4022	2423.235031772268	1	2021-09-30	1
0017	DG_F3_040	Acli	1	Control	1	2021-09-30	10.4022	2065.130266676834	1	2021-09-30	1
0018	DG_F3_042	AcLi	1	Control	1	2021-09-30	10.4022	2348.2482691723467	1	2021-09-30	1
0019	DG_F3_049	acLi	1	Control	1	2021-09-30	10.4022	2006.7507523381964	1	2021-09-30	1
0020	DG_F3_051	acLi	1	Control	1	2021-09-30	10.4022	1371.8677578731483	1	2021-09-30	1
0021	DG_F3_054	AcLi	1	Control	1	2021-09-30	10.4022	2845.9943927697295	1	2021-09-30	1
0022	DG_F3_056	acLi	1	Control	1	2021-09-30	10.4022	2924.779474254118	1	2021-09-30	1
0023	DG_F3_057	acli	1	Control	1	2021-09-30	10.4022	2093.0677800290105	1	2021-09-30	1
0024	DG_F3_059	acLi	1	Control	1	2021-09-30	10.4022	2095.6092342704424	1	2021-09-30	1
0025	DG_F3_063	AcLi	1	Control	1	2021-09-30	10.4022	2335.3191983222987	1	2021-09-30	1
0026	DG_F3_066	acLi	1	Control	1	2021-09-30	10.4022	2007.693400820473	1	2021-09-30	1
0027	DG_F3_068	AcLi	1	Control	1	2021-09-30	10.4022	1875.7688215606904	1	2021-09-30	1
0028	DG_F3_069	acli	1	Control	1	2021-09-30	10.4022	1826.0672182500696	1	2021-09-30	1
0029	DG_F3_070	acLi	1	Control	1	2021-09-30	10.4022	1148.2567512342905	1	2021-09-30	1
0030	DG_F3_075	Acli	1	Control	1	2021-09-30	10.4022	1011.2492634916435	1	2021-09-30	1
0031	DG_F3_076	AcLi	1	Control	1	2021-09-30	10.4022	849.548082174066	1	2021-09-30	1
0032	DG_F3_077	Acli	1	Control	1	2021-09-30	10.4022	2068.2169783737004	1	2021-09-30	1
0033	DG_F3_081	acLi	1	Control	1	2021-09-30	10.4022	967.7857751372647	1	2021-09-30	1
0034	DG_F3_082	acLi	1	Control	1	2021-09-30	10.4022	755.6621416696785	1	2021-09-30	1
0035	DG_F3_085	AcLi	1	Control	1	2021-09-30	10.4022	969.763488619688	1	2021-09-30	1
0036	DG_F3_088	acLi	1	Control	1	2021-09-30	10.4022	302.8489290608114	1	2021-09-30	1
0037	DG_F3_090	acLi	1	Control	1	2021-09-30	10.4022	318.1715877236989	1	2021-09-30	1
0038	DG_F3_092	acLi	1	Control	1	2021-09-30	10.4022	258.1378177151841	1	2021-09-30	1
0039	DG_F3_093	Acli	1	Control	1	2021-09-30	10.4022	925.2094853544404	1	2021-09-30	1
0040	DG_F3_094	Acli	1	Control	1	2021-09-30	10.4022	958.7659229931282	1	2021-09-30	1
0041	DG_F3_095	Acli	1	Control	1	2021-09-30	10.4022	2843.6100466086773	1	2021-09-30	1
0042	DG_F3_096	acLi	1	Control	1	2021-09-30	10.4022	2459.767281286378	1	2021-09-30	1
0043	DG_F3_097	acli	1	Control	1	2021-09-30	10.4022	1537.8847905752668	1	2021-09-30	1
