Genotype,Replication,drymass_shoot_Control,drymass_shoot_Drought,drymass_root_Control,drymass_root_Drought
DG_F3_004,1,4.47,0.9800000000000004,1.3099999999999996,0.25
DG_F3_007,1,2.9499999999999993,1.83,0.96,0.5500000000000007
DG_F3_008,1,2.389999999999999,1.0699999999999994,0.6400000000000006,0.4299999999999997
DG_F3_009,1,2.6800000000000006,1.8646,0.6299999999999999,0.46999999999999975
DG_F3_011,1,4.4399999999999995,2.1799999999999997,1.0899999999999999,0.39000000000000057
DG_F3_013,1,2.7,1.9800000000000004,0.8099999999999996,0.41999999999999993
DG_F3_015,1,2.1599999999999993,2.119999999999999,0.5599999999999996,0.4399999999999995
DG_F3_017,1,3.130000000000001,2.8100000000000005,0.6500000000000004,0.41000000000000014
DG_F3_019,1,3.09,2.3100000000000005,0.6900000000000004,0.5300000000000002
DG_F3_020,1,3.0200000000000005,1.2700000000000005,0.4800000000000004,0.23999999999999932
DG_F3_022,1,2.0999999999999996,1.6500000000000004,0.4299999999999997,0.35000000000000053
DG_F3_024,1,3.9800000000000004,2.139999999999999,0.6399999999999997,0.5330000000000001
DG_F3_028,1,4.05,2.049999999999999,1.4800000000000004,0.41999999999999993
DG_F3_032,1,3.6999999999999993,2.3899999999999997,0.8200000000000003,0.3600000000000003
DG_F3_033,1,4.63,2.119999999999999,1.5999999999999996,0.45999999999999996
DG_F3_038,1,2.99,1.7299999999999995,1.0899999999999999,0.40000000000000036
DG_F3_040,1,4.14,2.0300000000000002,0.9400000000000004,0.47000000000000064
DG_F3_042,1,3.2399999999999993,2.460000000000001,0.6500000000000004,0.4400000000000004
DG_F3_049,1,2.0299999999999994,1.75,0.6100000000000003,0.47999999999999954
DG_F3_051,1,2.8499999999999996,1.9500000000000002,0.7400000000000002,0.5199999999999996
DG_F3_054,1,3.969999999999999,2,0.8999999999999995,0.41999999999999993
DG_F3_056,1,4.1000000000000005,2.459999999999999,0.8200000000000003,0.5499999999999998
DG_F3_057,1,2.4499999999999993,1.1600000000000001,0.4500000000000002,0.27000000000000046
DG_F3_059,1,2.9299999999999997,1.9900000000000002,0.5700000000000003,0.3899999999999997
DG_F3_063,1,4.2700000000000005,2.1499999999999995,0.5800000000000001,0.33999999999999986
DG_F3_066,1,3.0699999999999994,2.4000000000000004,0.6500000000000004,0.45999999999999996
DG_F3_068,1,3.329999999999999,2.37,0.6600000000000001,0.4299999999999997
DG_F3_069,1,3.040000000000001,2.089999999999999,0.5,0.40000000000000036
DG_F3_070,1,2.5300000000000002,1.3000000000000007,0.54,0.4400000000000004
DG_F3_075,1,2.96,1.7599999999999998,0.5199999999999996,0.7299999999999995
DG_F3_076,1,2.1999999999999993,1.5599999999999996,0.7400000000000002,0.5299999999999994
DG_F3_077,1,4.089999999999999,1.9699999999999998,0.6600000000000001,0.4400000000000004
DG_F3_081,1,2.1099999999999994,1.4000000000000004,0.6400000000000006,0.5100000000000007
DG_F3_082,1,3.0699999999999994,1.9900000000000002,0.6800000000000006,0.4900000000000002
DG_F3_085,1,2.3100000000000005,2.1100000000000003,0.6200000000000001,0.5199999999999996
DG_F3_088,1,1.2700000000000005,1.0200000000000005,0.40000000000000036,0.34999999999999964
DG_F3_090,1,1.3600000000000003,1.33,0.46999999999999975,0.5
DG_F3_092,1,1.2400000000000002,1.3900000000000006,0.4300000000000006,0.5
DG_F3_093,1,2.25,1.2300000000000004,0.45999999999999996,0.33000000000000007
DG_F3_094,1,2.5299999999999994,1.7999999999999998,0.5899999999999999,0.41999999999999993
DG_F3_095,1,3.26,1.5899999999999999,0.71,0.5199999999999996
DG_F3_096,1,2.2199999999999998,1.2299999999999995,0.46000000000000085,0.5300000000000002
DG_F3_097,1,2.039999999999999,1.25,0.5499999999999998,0.3799999999999999
DG_F3_098,1,3.13,1.1399999999999997,0.5599999999999996,0.3200000000000003
DG_F3_099,1,1.7999999999999998,1.6600000000000001,0.54,0.3700000000000001
DG_F3_101,1,1.2800000000000002,1.3899999999999997,0.3700000000000001,0.33999999999999986
DG_F3_102,1,2.0199999999999996,1.3699999999999992,0.6400000000000006,0.4800000000000004
DG_F3_103,1,2.9700000000000006,2.130000000000001,0.6799999999999997,0.4800000000000004
DG_F3_106,1,1.3899999999999997,1.0600000000000005,0.45999999999999996,0.4500000000000002
DG_F3_107,1,1.1900000000000004,1.37,0.47999999999999954,0.5
DG_F3_115,1,2.01,1.4899999999999993,0.5000000000000009,0.5
DG_F3_118,1,2.0599999999999996,1.7800000000000002,0.6299999999999999,0.6200000000000001
DG_F3_119,1,2.320000000000001,2.389999999999999,0.5499999999999998,0.4900000000000002
DG_F3_120,1,3.25,1.9800000000000004,0.6200000000000001,0.5200000000000005
DG_F3_121,1,1.2300000000000004,1.2799999999999994,0.4400000000000004,0.5800000000000001
DG_F3_124,1,4.510000000000001,1.8399999999999999,0.6600000000000001,0.5400000000000009
DG_F3_126,1,2.6100000000000003,2.5299999999999994,0.41000000000000014,0.6200000000000001
DG_F3_127,1,1.8999999999999995,1.8599999999999994,0.45999999999999996,0.4300000000000006
DG_F3_129,1,1.1499999999999995,0.96,0.3600000000000003,0.33000000000000007
DG_F3_131,1,2.7199999999999998,2.55,0.5900000000000007,0.5600000000000005
DG_F3_132,1,2.2399999999999993,2.46,0.4800000000000004,0.5300000000000002
DG_F3_133,1,0.6900000000000004,1.7800000000000002,0.35999999999999943,0.5700000000000003
DG_F3_136,1,2.0999999999999996,2.540000000000001,0.6200000000000001,0.5499999999999998
DG_F3_139,1,3.710000000000001,2.5600000000000005,0.6100000000000003,0.5800000000000001
DG_F3_145,1,4.71,1.6899999999999995,0.8100000000000005,0.5
DG_F3_150,1,2.2399999999999993,2.0599999999999996,0.54,0.47000000000000064
DG_F3_152,1,2.9899999999999993,2.01,0.6400000000000006,0.5499999999999998
DG_F3_154,1,2.9399999999999995,1.5599999999999996,0.54,0.41000000000000014
DG_F3_157,1,3.3099999999999987,2.5700000000000003,0.6899999999999995,0.8300000000000001
DG_F3_159,1,3.88,2.62,0.7400000000000002,0.5800000000000001
DG_F3_163,1,2.1799999999999997,1.2000000000000002,0.54,0.3600000000000003
DG_F3_164,1,2.6999999999999993,2.6399999999999997,0.5999999999999996,0.7400000000000002
DG_F3_165,1,2.969999999999999,2.289999999999999,0.5900000000000007,0.7300000000000004
DG_F3_167,1,6.2851,2.7800000000000002,0.7800000000000002,0.6100000000000003
DG_F3_175,1,3.3200000000000003,2.4399999999999995,0.5200000000000005,0.54
DG_F3_179,1,3.1399999999999997,1.75,0.620000000000001,0.5199999999999996
DG_F3_180,1,2.8400000000000007,1.6400000000000006,0.7999999999999998,0.5800000000000001
DG_F3_185,1,4.569999999999999,2.4000000000000004,0.6200000000000001,0.4299999999999997
DG_F3_190,1,1.2599999999999998,2.0200000000000005,0.35000000000000053,0.4400000000000004
DG_F3_194,1,4.180000000000001,1.2599999999999998,0.7200000000000006,0.5199999999999996
DG_F3_195,1,2.6000000000000005,0.9400000000000004,0.6900000000000004,0.45999999999999996
DG_F3_196,1,2.629999999999999,1.1199999999999992,0.6100000000000003,0.3899999999999997
DG_F3_200,1,5.06,2.540000000000001,0.7599999999999998,0.6799999999999997
DG_F3_203,1,4.25,1.7199999999999998,0.96,0.6500000000000004
DG_F3_210,1,5.099999999999999,2.2600000000000007,0.5899999999999999,0.6500000000000004
DG_F3_212,1,2.5199999999999996,0.8999999999999995,0.5,0.4399999999999995
DG_F3_214,1,2.920000000000001,1.25,0.6399999999999997,0.5499999999999998
DG_F3_218,1,2.799999999999999,1.7299999999999995,0.6299999999999999,0.54
DG_F3_220,1,5.53,1.5999999999999996,0.9799999999999995,0.4800000000000004
DG_F3_223,1,1.88,1.6500000000000004,0.5600000000000005,0.5299999999999994
DG_F3_225,1,0.6699999999999999,0.39999999999999947,0.3600000000000003,0.2999999999999998
DG_F3_227,1,3.8099999999999996,2.13,0.5099999999999998,0.54
DG_F3_230,1,1.7699999999999996,1.4900000000000002,0.54,0.3600000000000003
DG_F3_231,1,3.7700000000000005,1.7000000000000002,0.8399999999999999,0.5800000000000001
DG_F3_232,1,4.77,1.7300000000000004,0.8100000000000005,0.5600000000000005
DG_F3_236,1,3.6500000000000004,2.329999999999999,0.6699999999999999,0.5899999999999999
DG_F3_239,1,5.5600000000000005,1.9399999999999995,0.9699999999999998,0.6699999999999999
DG_F3_241,1,5.009999999999999,1.9100000000000001,0.6699999999999999,0.5899999999999999
DG_F3_245,1,3.329999999999999,1.6599999999999993,0.6399999999999997,0.4500000000000002
DG_F3_246,1,3.5200000000000005,1.9000000000000004,0.75,0.5299999999999994
DG_F3_247,1,2.05,0.8700000000000001,0.7699999999999996,0.4200000000000008
DG_F3_248,1,2.8000000000000007,1.5599999999999996,0.4500000000000002,0.3799999999999999
DG_F3_249,1,1.7899999999999991,1.46,0.41000000000000014,0.47000000000000064
DG_F3_250,1,2.6399999999999997,1.0099999999999998,0.6200000000000001,0.41000000000000014
DG_F3_255,1,3.7600000000000007,1.2999999999999998,0.580000000000001,0.4299999999999997
DG_F3_257,1,4.59,1.5899999999999999,0.9499999999999993,0.6100000000000003
DG_F3_263,1,2.54,2.2199999999999998,0.5599999999999996,0.6600000000000001
DG_F3_266,1,5.63,1.4699999999999998,0.8000000000000007,0.5900000000000007
DG_F3_269,1,2.4799999999999995,1.6399999999999997,0.6800000000000006,0.5000000000000009
DG_F3_270,1,1.7704,0.7000000000000002,0.5,0.41000000000000014
DG_F3_271,1,1.6500000000000004,0.34999999999999964,0.54,0.5999999999999996
DG_F3_273,1,4.5594,1.4900000000000002,1.0700000000000003,0.39000000000000057
DG_F3_274,1,4.99,0.8600000000000003,1.1399999999999997,0.40000000000000036
DG_F3_276,1,3.1100000000000003,1.54,0.7000000000000002,0.5700000000000003
DG_F3_280,1,5.079999999999999,2.0600000000000005,1.0099999999999998,0.5899999999999999
DG_F3_283,1,2.7800000000000002,1.4700000000000006,0.8099999999999996,0.5200000000000005
DG_F3_285,1,3.5299999999999994,2.8500000000000005,0.7960000000000002,0.6699999999999999
DG_F3_286,1,1.8599999999999994,1.88,0.41000000000000014,0.6100000000000003
DG_F3_287,1,0.75,2.0199999999999996,0.2600000000000007,0.5499999999999998
DG_F3_292,1,5.219999999999999,1.5999999999999996,1.2800000000000002,0.5
DG_F3_293,1,3.5599999999999996,1.1399999999999997,0.79,0.47999999999999954
DG_F3_294,1,3.1400000000000006,1.6600000000000001,0.5999999999999996,0.5800000000000001
DG_F3_297,1,4.699999999999999,2.6900000000000004,0.8400000000000007,0.6300000000000008
DG_F3_298,1,6.44,1.5699999999999994,1.38,0.5600000000000005
DG_F3_299,1,3.1399999999999997,1.12,0.7999999999999998,0.5
DG_F3_300,1,2.8200000000000003,0.8100000000000005,0.54,0.41999999999999993
DG_F3_302,1,2.5,1.2599999999999998,0.45999999999999996,0.4200000000000008
DG_F3_304,1,2.879999999999999,1.6999999999999993,0.7999999999999998,0.5899999999999999
DG_F3_305,1,2.51,1.2199999999999998,0.6000000000000005,0.3700000000000001
DG_F3_307,1,2.370000000000001,1.4000000000000004,0.6600000000000001,0.5
DG_F3_309,1,3.21,1.71,0.6200000000000001,0.45999999999999996
DG_F3_312,1,1.7999999999999998,1.1099999999999994,0.4800000000000004,0.34999999999999964
DG_F3_315,1,3.62,1.3199999999999994,0.71,0.54
DG_F3_316,1,3.299999999999999,1.0300000000000002,0.5300000000000002,0.3600000000000003
DG_F3_317,1,0.8799999999999999,0.5999999999999996,0.28750000000000014,0.34999999999999964
DG_F3_318,1,4.31,1.8400000000000007,0.75,0.6799999999999997
DG_F3_324,1,2.37,1.7199999999999998,0.54,0.5
DG_F3_325,1,4.220000000000001,1.75,0.9199999999999999,0.5700000000000003
DG_F3_328,1,1.5500000000000007,1.3400000000000007,0.3799999999999999,0.45999999999999996
DG_F3_329,1,3.5600000000000005,1.7599999999999998,0.6200000000000001,0.5300000000000002
DG_F3_330,1,3.130000000000001,1.75,0.6100000000000003,0.46999999999999975
DG_F3_331,1,2.66,0.7299999999999995,0.7199999999999998,0.3700000000000001
DG_F3_332,1,2.669999999999999,1.5300000000000002,0.4900000000000002,0.4800000000000004
DG_F3_333,1,1.8299999999999992,1.3100000000000005,0.3700000000000001,0.5100000000000007
DG_F3_334,1,2.4299999999999997,1.1600000000000001,0.7591000000000001,0.3899999999999997
DG_F3_335,1,1.96,1.58,0.6400000000000006,0.6200000000000001
DG_F3_336,1,2.4699999999999998,0.96,0.5300000000000002,0.41000000000000014
DG_F3_337,1,3.96,1.6899999999999995,0.7400000000000002,0.5600000000000005
DG_F3_338,1,2.4800000000000004,1.42,0.6800000000000006,0.4900000000000002
DG_F3_342,1,2.0200000000000005,1.3100000000000005,0.5599999999999996,0.6099999999999994
DG_F3_344,2,0.8899999999999997,0.08000000000000007,0.21999999999999975,0.08000000000000007
DG_F3_345,2,1.3399999999999999,0.6699999999999999,0.34999999999999964,0.3799999999999999
DG_F3_346,2,1.1199999999999992,0.3799999999999999,0.39000000000000057,0.20999999999999996
DG_F3_349,2,1.4000000000000004,0.28000000000000025,0.4500000000000002,0.16000000000000014
DG_F3_351,2,0.8300000000000001,0.40000000000000036,0.29000000000000004,0.21000000000000085
DG_F3_352,2,0.8799999999999999,0.4299999999999997,0.3099999999999996,0.21000000000000085
DG_F3_354,2,0.9700000000000006,0.3700000000000001,0.41000000000000014,0.17999999999999972
DG_F3_355,2,1.5200000000000005,0.5899999999999999,0.4900000000000002,0.20999999999999996
DG_F3_356,2,2.920000000000001,0.6600000000000001,0.54,0.23000000000000043
DG_F3_357,2,1.5300000000000002,0.5899999999999999,0.4900000000000002,0.2400000000000002
DG_F3_360,2,1.38,0.41000000000000014,0.27999999999999936,0.23999999999999932
DG_F3_363,2,1.2699999999999996,0.5900000000000007,0.33000000000000007,0.1999999999999993
DG_F3_364,2,1.1600000000000001,0.5999999999999996,0.3100000000000005,0.20999999999999996
DG_F3_365,2,1.25,0.3199999999999994,0.35000000000000053,0.17999999999999972
DG_F3_366,2,2.0599999999999987,0.6299999999999999,0.41999999999999993,0.2400000000000002
DG_F3_367,2,1.2200000000000006,0.45999999999999996,0.33000000000000007,0.2999999999999998
DG_F3_368,2,1.2199999999999998,0.3299999999999992,0.25,0.15000000000000036
DG_F3_369,2,1.3099999999999996,0.6699999999999999,0.33999999999999986,0.2400000000000002
DG_F3_370,2,2.299999999999999,0.46999999999999975,0.5999999999999996,0.1900000000000004
DG_F3_371,2,1.08,0.2999999999999998,0.28000000000000025,0.2699999999999996
DG_F3_372,2,0.4500000000000002,0.22999999999999954,0.2400000000000002,0.20000000000000018
DG_F3_375,2,1.4699999999999998,0.5499999999999998,0.34000000000000075,0.25
DG_F3_376,2,1.71,0.9500000000000002,0.5000000000000009,0.4800000000000004
DG_F3_377,2,1.4400000000000004,1.0299999999999994,0.33999999999999986,0.5
DG_F3_378,2,2.1099999999999994,0.20000000000000018,0.3000000000000007,0.2400000000000002
DG_F3_381,2,1.9099999999999993,0.8000000000000007,0.47000000000000064,0.3799999999999999
DG_F3_384,2,2.339999999999999,0.6500000000000004,0.40000000000000036,0.4400000000000004
DG_F3_385,2,0.9100000000000001,0.5199999999999996,0.28000000000000025,0.41000000000000014
DG_F3_386,2,1.08,0.3200000000000003,0.29000000000000004,0.29000000000000004
DG_F3_387,2,1.58,1.1300000000000008,0.4900000000000002,0.4800000000000004
DG_F3_388,2,1.5700000000000003,0.96,0.3899999999999997,0.41000000000000014
DG_F3_389,2,2.16,0.6200000000000001,0.3700000000000001,0.2400000000000002
DG_F3_402,2,1.38,0.8700000000000001,0.3899999999999997,0.17000000000000082
DG_F3_403,2,1.5700000000000003,1.0100000000000007,0.3600000000000003,0.3600000000000003
DG_F3_405,2,1.25,0.7000000000000002,0.2999999999999998,0.2600000000000007
DG_F3_406,2,2.5599999999999996,0.3700000000000001,0.5800000000000001,0.2600000000000007
DG_F3_411,2,0.9899999999999993,0.6200000000000001,0.28000000000000025,0.35999999999999943
