Genotype,W2_Control,W2_Drought,W3_Control,W3_Drought,W4_Control,W4_Drought,W5_Control,W5_Drought,cum_W2_Control,cum_W2_Drought,cum_W3_Control,cum_W3_Drought,cum_W4_Control,cum_W4_Drought,cum_W5_Control,cum_W5_Drought
DG_F3_004,-0.0025373157892147704,-6.087444556957764e-11,0.02160440844016847,-0.06634124750691278,-0.1341252727583476,-0.14652759227923295,-0.1803501850303412,-0.257669187199043,-0.0025373157892147704,-6.087444556957764e-11,0.011145998986179729,-0.07718926388402873,-0.13092907858987826,-0.21563489442490508,-0.23189237496835985,-0.4216860930737946
DG_F3_007,-0.0025373157892147704,-6.087444556957764e-11,-0.07714386636122,-0.06634124750691278,-0.1341252727583476,0.022980607659892367,0.10368096388808369,-0.09946263180857853,-0.0025373157892147704,-6.087444556957764e-11,-0.09132738727167244,-0.07718926388402873,-0.20738973056870244,-0.05464171216917134,-0.02515734628703597,-0.1568414566371391
DG_F3_008,0.02047602571128306,-6.087444556957764e-11,-0.17589214116260848,-0.14807237478633603,0.05469084779744275,-0.2312816922487956,0.22434556139882625,-0.05803474118725328,0.02047602571128306,-6.087444556957764e-11,-0.031384298988914254,-0.16345237214845032,0.04186060259413647,-0.45920817632788413,0.25343674198001265,-0.4216860930737946
DG_F3_009,-0.0025373157892147704,-6.087444556957764e-11,0.02160440844016847,-0.06634124750691278,-0.2211403172554097,-0.01219552204510403,0.02199768818424248,-0.15785196419314818,-0.0025373157892147704,-6.087444556957764e-11,0.011145998986179729,-0.07718926388402873,-0.20738973056870244,-0.07315365833407933,-0.11393893341458504,-0.18943020788698453
DG_F3_011,-0.0025373157892147704,-6.087444556957764e-11,-0.07714386636122,-0.06634124750691278,0.003790309768078594,0.07255857792445865,0.08118064714984774,-0.09946263180857853,-0.0025373157892147704,-6.087444556957764e-11,-0.09132738727167244,-0.07718926388402873,-0.0766793826668086,0.016598905876241507,-3.3153773796645137e-4,-0.07112271985676392
DG_F3_013,-0.0025373157892147704,-6.087444556957764e-11,-0.07714386636122,-0.018531602906782248,-0.0832247347289835,-0.01219552204510403,0.02199768818424248,0.07391645025787633,-0.0025373157892147704,-6.087444556957764e-11,-0.09132738727167244,-0.026728580353692848,-0.20738973056870244,-0.05464171216917134,-0.08579375299778748,0.04282567729982548
DG_F3_015,-0.0025373157892147704,-6.087444556957764e-11,-0.019379828591499896,0.09712100705193372,0.1610573787329052,0.1350194335665494,0.46638573267556455,0.1415997048245365,-0.0025373157892147704,-6.087444556957764e-11,-0.031384298988914254,0.09533695264481443,0.20163994125966198,0.19750404953653405,0.6127563122937759,0.38541042750916765
DG_F3_017,-0.0025373157892147704,-6.087444556957764e-11,0.15214252722178156,0.015389879772510459,0.06791740373725484,0.2791386714300945,0.14567194152977028,0.25837836959367566,-0.0025373157892147704,-6.087444556957764e-11,0.1466084472586791,0.009073844380392854,0.20695226919273343,0.31929069048802344,0.2312292994924267,0.4938673881963348
DG_F3_019,-0.0025373157892147704,-6.087444556957764e-11,-0.019379828591499896,0.063199524372641,-0.1341252727583476,-0.06177349230967029,0.12317162479153443,0.1999890372091061,-0.0025373157892147704,-6.087444556957764e-11,-0.031384298988914254,0.05953452791072873,-0.13092907858987826,-0.022607635428002697,0.021875904749619375,0.1508185139425952
DG_F3_020,0.011982486092550121,3.113575485298933e-10,-0.07714386636122,-0.018531602906782248,0.21393490522990075,0.32682087783314656,0.2989072717047533,0.1001718142032112,0.011982486092550121,3.113575485298933e-10,-0.031384298988914254,0.05953452791072873,0.22682064641909996,0.4410773314395131,0.521957716880418,0.5150258737689749
DG_F3_022,-0.0025373157892147704,-6.087444556957764e-11,0.07936844620988859,-0.06634124750691278,0.09080535426514068,0.07255857792445865,0.1557423574557746,3.545911973163272e-4,-0.0025373157892147704,-6.087444556957764e-11,0.07108908726893795,-0.07718926388402873,0.24903160247485434,0.004476790539631688,0.3713901835337875,-0.042893059480549826
DG_F3_024,-0.0025373157892147704,-6.087444556957764e-11,-0.019379828591499896,-0.018531602906782248,0.003790309768078594,0.07255857792445865,0.12317162479153435,0.041782481818641616,-0.0025373157892147704,-6.087444556957764e-11,-0.031384298988914254,-0.026728580353692848,-0.03460004938468766,0.09917900552348687,0.0927960952667388,0.10800317979951637
DG_F3_028,-0.0025373157892147704,-6.087444556957764e-11,0.1371324839796087,0.17885213433135694,0.3437485687901074,0.19248880759901776,0.431184962431119,0.1415997048245365,-0.0025373157892147704,-6.087444556957764e-11,0.13103217555169613,0.18160006090923603,0.4974419557601527,0.3463751164556579,0.7165584164407991,0.40534849899179975
