Genotype,Control_w_2,Drought_w_2,Control_w_3,Drought_w_3,Control_w_4,Drought_w_4,Control_w_5,Drought_w_5
DG_F3_004,1080.5624085905354,-244.07729215145304,2649.4578541242727,-534.8632581820483,4961.722267572009,-255.05762238389931,1134.455203048028,70.84410401646099
DG_F3_007,1101.6224761793903,160.52007763874943,1793.554876772961,399.3622029032301,3629.3307609866997,164.3782086495917,3768.967097425171,576.7382781958821
DG_F3_008,-175.14035996504126,-377.9581637716072,-1608.7978518642342,-832.1120802065116,-5745.433030658694,-630.9548189508788,-13244.91722528481,-550.87261506121
DG_F3_009,584.5787537775183,142.42036073804815,2278.9572925694406,426.81076715329755,6898.442719821429,152.64778384031555,7273.874949209156,387.4734207463698
DG_F3_011,456.94266403496357,61.72656097793367,2802.439437889993,632.4126541934811,7031.4583756262355,556.7383878549127,11328.919348503845,656.7400401872936
DG_F3_013,-155.80865904722594,-167.70943559816607,-501.7345380885805,-472.10031705037056,-161.8048882537382,-198.20545556353107,2019.4149207728087,45.95827318910515
DG_F3_015,5.881402762834711,-110.42826636355818,-512.4864127615123,-301.4201085583476,-2316.874345219176,-181.68513031878436,-6132.689326283731,-69.37380446664807
DG_F3_017,3.82229289471707,220.66917874518828,680.1814409561706,791.8939135448334,695.8166924917891,-147.55611514191554,-443.5607676595328,413.3659843571382
DG_F3_019,276.8654366091217,198.17596240154984,453.35329870863944,378.6989710625533,-311.0981444301511,609.9675402633635,-2441.8080739249845,556.8799830464355
DG_F3_020,-177.0921548197398,-80.0000343472467,-83.94070540701877,-461.6301765475157,231.63723554103677,-427.3102018478123,-520.4698592546662,-193.83087867079036
DG_F3_022,-464.36514791069976,-162.19024119261272,-1177.8906647915092,-305.5209289764221,-2464.786402508159,106.86644201725143,-6820.776256279941,130.91903090623515
DG_F3_024,1011.4660232263822,115.1731849199401,3190.9865741242666,177.46681395921343,6973.8881637732275,172.64405489338915,10320.41456254657,280.79624205398846
DG_F3_028,667.9631656377427,-4.611070404100343,1044.1665255741539,533.7285763136958,776.7965033577195,565.996874870589,776.0056695436203,606.3056083523123
DG_F3_032,421.21173238349,12.527166517644478,1567.5230183625265,1025.6991392672535,4720.680157741311,1048.9098305008615,8075.025650653064,1252.275056689834
DG_F3_033,2574.5579942664785,286.9287167143361,7276.522664428011,594.0506093915833,16719.575006598527,865.1644046702721,23332.554597800692,809.4478454660779
DG_F3_038,314.9221265538197,-82.29850670914222,710.991962648444,-443.85937426523253,68.62767550046921,-301.91511508696715,-1935.7887344781384,-190.66427929166858
DG_F3_040,371.5943267878606,61.48753332281685,771.4401570005064,-334.3067657038926,741.9581793429722,-201.0663007067293,1027.2013015227128,22.106343177205108
DG_F3_042,292.0397982442762,85.83007571179841,1508.5927692399887,377.556400369781,2564.1568948525246,357.88295564398123,-872.1579484955615,544.3576923008926
DG_F3_049,-678.9587941206617,-141.61204298002602,-2537.476615765332,-309.6556168529522,-7649.59627308604,-84.90055519247416,-16382.261847554002,37.688852004787236
DG_F3_051,-195.32167342731046,10.658406579005556,64.14074624716713,166.97749108248308,-23.892846332220074,527.0854868785234,2344.4294478065603,686.9714527428754
DG_F3_054,739.8733254700026,60.23589169288497,2595.1937104192702,345.4981730565934,4414.353941718267,555.0207271094168,7410.264314200631,513.7989817511952
DG_F3_056,459.5461189431545,47.365831026069884,1627.5684820113495,409.2691397897302,3117.375648134032,749.3242870068913,3801.3777191993872,525.9743513188549
DG_F3_057,-446.179044131772,-160.797356602742,-1647.4607998458966,-184.6290744790494,-3821.9416719211604,22.267400808250272,-4950.3836103086605,314.8459777170285
DG_F3_059,-369.0048648146577,134.2047683370793,-1168.7939047477093,563.7939884093571,-3473.799372143222,249.14990186546171,-6238.556761534086,226.2006743652146
DG_F3_063,59.488391411825624,-120.0921946737097,-427.42503741666127,56.54055685030685,-2683.1848215353252,120.89400367148473,-3505.6450472014744,146.54627378554636
DG_F3_066,442.29313233968736,247.9472438800181,2772.6098741658184,1244.802774652742,6498.46531593188,920.4893390148677,6926.322795146542,1196.369637873614
DG_F3_068,-222.8752288245979,203.97704143555427,62.71348536668424,464.3835332199336,118.0378563290929,802.1546279682302,1255.1414831721995,800.3878806608379
DG_F3_069,25.29342097828544,61.6709222205013,-724.0611607375033,560.7543787674144,-1078.2286882361198,129.94945154286359,-475.09779098442357,37.61969176860547
DG_F3_070,10.011186836425324,-28.680576474388317,177.69893243290255,189.84665287494823,1961.8136471527685,6.2336841711942395,6455.020851555194,86.80674265228521
DG_F3_075,670.4752099445665,511.4103644371892,2118.0275189057293,952.03859306209,5566.359513712754,848.9410412452268,4689.065094320177,528.9396931798833
DG_F3_076,884.1049691805533,308.7616853280852,3176.7598103251376,1113.1392000260607,8513.404011748722,954.9663976135444,14582.73827924129,816.0290380325773
DG_F3_077,753.9466507728716,269.86455820250893,2150.755951066968,758.7200732448788,5335.6766723132505,506.00661772546795,7702.066785519661,379.86860965291123
DG_F3_081,427.01308351784536,185.36727595975137,135.08816433596448,258.308993694459,-1371.7086921657576,96.88661575124685,-1665.1649043703917,114.18872229131517
DG_F3_082,-169.83941714394052,242.12463504897912,-708.4717195510644,68.03472506159089,-2819.8622846607295,266.5270584011892,-5222.279929585346,838.8285068313753
DG_F3_085,-475.6006237827469,107.13259070666514,-3106.181450673589,-540.4404490828165,-9518.251413884076,-64.92266113238372,-16522.46360686648,-114.48318050458957
DG_F3_088,-1229.2321646329347,-83.2779873633129,-3731.129525875269,-1193.1701752254648,-8123.419172789102,-730.4604925879629,-12544.521002717884,-465.86600335463015
DG_F3_090,46.67125057824862,1002.9251406920533,-200.56986161831247,759.535674590279,113.57486496577778,124.26329193614512,912.2823171020458,-35.1577387600693
DG_F3_092,-651.9542810467651,649.5759574358822,-2724.2682754749585,52.32632123071134,-5752.65325627108,268.51177892198046,-7164.988107586947,428.1011248333525
DG_F3_093,-153.54446312790856,631.8420480468283,-1241.7618157932857,-531.7372426499985,-2874.284387507133,-229.42291478054727,-6072.494824306356,-84.30139535311136
DG_F3_094,-375.829523750808,1532.7156951498976,-1154.3478765745367,497.4317436999266,-1443.7029849470198,590.9283524945988,2394.215898244841,884.6058328277105
DG_F3_095,162.8531029180342,1431.2658796954559,379.05690494633603,559.3314267551254,576.356618152402,195.04212008441527,1347.3157362113968,387.192817046668
DG_F3_096,271.09919575924476,1850.118611144221,1712.4705280578326,1000.6465008106901,4848.859846954784,1297.9973080190327,9384.14116631971,1137.4832964843474
DG_F3_097,5.981934579576064,1401.5010377272238,544.4365811524524,-245.02352659249877,3901.5832959647373,81.19172548066604,5431.958237608398,331.72115973157713
DG_F3_098,157.45635173812633,734.5327838745956,736.0724660293445,-616.3809429380558,3119.3973700527813,-405.33632037333183,7387.396964646036,-267.08702855933234
DG_F3_099,-460.20912039294046,351.91124615457903,-1422.8566328263262,723.9473646166969,-2600.549086496163,718.3987452442321,-1789.1637758219154,992.1900857152436
DG_F3_101,-83.8054268176972,377.7915944131029,-578.7024444178902,-308.96371680609036,-1525.9502312247655,-108.93170604584387,-5310.676145524632,34.10771318280545
DG_F3_102,98.72025070783727,143.92829792194124,397.7356687447034,-15.971152057816727,638.4709768819608,38.76040754068723,4269.074178126417,212.4485179290801
DG_F3_103,556.8902085464852,86.321649486243075,1522.7810630139604,1088.9695078125528,3205.7692592061494,481.7145850765115,7855.460888515981,510.648370645461
DG_F3_106,-755.8890737023294,-330.8936156829692,-3546.720295551465,-1028.9568229919287,-8077.561020304204,-626.4232798153046,-11804.703836932029,-762.8180097294307
DG_F3_107,-1112.6139422101908,-174.75344312316983,-3610.961189425087,10.048001168036953,-9085.766608108186,406.25136648297746,-14275.696297025515,322.56706477611914
DG_F3_115,-156.04119216712394,-79.49397518481757,-721.444859084824,75.00377028769881,-1321.2751587600392,300.6441342741295,-3244.4045579387766,399.4653442671057
DG_F3_118,60.69367254639237,32.7506833343034,-100.31411360192973,-293.4670191100543,-473.16597529390623,121.25884877155197,-1956.3894262877984,194.0377798666029
DG_F3_119,390.59622830290164,60.57583703076608,985.4152746438928,-189.95071442911086,266.70975484993886,-72.54387405170002,-3564.694801451536,79.73832577448285
DG_F3_120,554.275991138882,22.69291226398322,855.6143044570819,-57.8831260481337,1578.978672532736,-13.185666064113269,199.56862939873375,-210.82433502520553
DG_F3_121,-213.97557026748814,33.167439700397125,-1290.479882695171,-113.73181270395521,-3807.1422767765266,-308.3168423201001,-9035.925873454977,-240.84708397205395
DG_F3_124,1045.017749088999,47.67446579589007,3463.577701522285,301.358828319728,9975.674516803,167.1898932092589,21048.326447091353,415.37509303385866
DG_F3_126,653.1580976947807,142.84159889886956,2138.903057120074,703.0788552303563,4830.351044281502,384.2309753529138,6079.078980980745,815.7830101178544
DG_F3_127,501.54588721120155,-91.22133341458978,1043.4057428496874,-717.6545288273387,2600.265424707032,-539.3781333288279,2007.0872439671718,-89.2445006612237
DG_F3_129,-1217.899497127379,-519.6559975913315,-4903.136440775246,-1565.4239947142903,-12132.731440682539,-969.4618343316017,-19658.79195841425,-799.6451334332023
DG_F3_131,99.20056810426445,33.75644967389048,358.6174596874039,44.18751030313049,-488.9599596530745,314.833072837894,550.3518652714754,430.03403235523274
DG_F3_132,-362.47460818867296,-103.660025370252,-1449.5398547201526,71.33518134796898,-3114.4154370773313,-12.474361670601448,-3870.406469076726,211.80035337237442
DG_F3_133,-712.9738808742882,-247.4742286347009,-2935.093366300294,-589.9697366086801,-6336.483815821211,-451.29489856011384,-9015.514086196456,-452.42099983927824
DG_F3_136,103.99073686801302,61.139022512525784,626.4131728221754,-179.31228318254,-713.6772803855868,-152.9090583664236,-120.45677779691071,-366.5951117734951
DG_F3_139,-105.98790910683718,18.935158740176394,194.91366240018635,233.8053679333561,1984.165657082334,25.242206599465565,5559.840658366586,145.7711244826483
DG_F3_145,615.3424256321738,72.16687390372685,1652.164907058449,138.7740121553901,4317.280404693693,-0.5026944635070909,7956.149968379699,-218.12900936340552
DG_F3_150,-454.79261946617333,-16.78650796326411,-2003.4169322290081,182.1272584116883,-4480.140968440591,163.68785623344846,-6691.756842034051,-46.97130930747445
DG_F3_152,803.6875160724207,3.1092668494837263,2106.3667918212795,-17.53393220571003,3521.7769385919937,-388.51754975088994,4910.844676571416,-386.3139254292895
DG_F3_154,-94.5876453054206,-102.67975656775582,-131.15854719493265,67.64058282738941,-638.2338255019055,-152.92688068878707,661.3038338155476,-490.2746575106827
DG_F3_157,369.41546940880113,287.06601609418686,1543.6591812711933,1042.7920500694488,2592.8470449699025,414.91479425517474,4224.727357703175,92.23803053698654
DG_F3_159,270.9624114719682,313.8006139870027,274.75441656599486,257.37034931802145,-1311.4343610958554,170.13229333229904,-1213.0367503184868,288.12120095843994
DG_F3_163,358.3426858780609,-170.2937304336367,832.6836800656686,-593.7641460382528,1975.6621624597894,-378.4974076504284,4455.274142181274,-325.10855166065164
DG_F3_164,105.72024582800306,107.4301177271271,-314.8866956408264,1035.470944109223,-934.8980331902194,65.0476574476321,-1226.4933886283472,-34.00532126417563
DG_F3_165,133.93609923471308,244.49958691289044,835.4089729159093,937.9664916674931,1963.3162251374865,290.83322940075215,2374.140092908257,-4.175250734291021
DG_F3_167,1541.4144080260753,118.94692165667318,5018.706905924879,1208.2303541270585,10705.287324101984,596.3924475611825,19328.998772967396,193.6844133023081
DG_F3_175,610.1910014725207,89.77844752037461,2254.942699950973,1130.320513453505,5160.684740024808,901.1972243228136,6954.118118971459,294.53093295951845
DG_F3_179,393.94174051152834,-33.25596237455369,1231.9696058532609,-312.1433619525205,2444.1278129187376,-466.2369936930352,6111.344234727902,-417.36758625037874
DG_F3_180,136.21894281282945,-85.77707801451372,-862.9524449802193,155.96701220951724,-3963.248551064829,52.05335210554263,-8407.878509094828,-319.28299086757755
