Genotype,Replication,leaf_W1_Control,leaf_W1_Drought,leaf_W2_Control,leaf_W2_Drought,leaf_W3_Control,leaf_W3_Drought,leaf_W4_Control,leaf_W4_Drought,leaf_W5_Control,leaf_W5_Drought
DG_F3_004,1,0,0,8411.843451270357,1453.257006080029,23687.36088072376,5123.302533605312,45989.66116785908,7449.554373092726,57183.520932332736,14406.913532697423
DG_F3_007,1,0,0,6244.192372199908,5976.394345157938,17366.90706086189,11750.400636266328,29374.912208264002,10470.423121721762,44086.87757112981,20428.10504188765
DG_F3_008,1,0,0,5146.7665312576655,2790.796420886641,12450.087135374288,7129.119217971506,19328.04071716065,9494.268821895535,23989.209323492803,10858.214988927306
DG_F3_009,1,0,0,3738.6540584660493,5295.200607388927,12830.443837650688,12516.500815703843,22921.063701561437,17553.83258091793,39907.30594843268,21574.147274633156
DG_F3_011,1,0,0,8135.292869909481,5736.389294825945,24588.84132636695,13240.318428529943,45677.41388065677,17796.25786324606,58212.506671554605,21761.298725637003
DG_F3_013,1,0,0,5332.046858009885,4234.258309657311,14230.530554230383,10880.881195429241,26202.90015956152,17125.714121564506,37139.06103129871,22064.3322270451
DG_F3_015,1,0,0,4394.303522316351,5426.103613277831,11477.489016725434,11117.26319585753,19488.810025347346,13473.680661480379,23553.927490451562,16076.5453206473
DG_F3_017,1,0,0,5607.875157015222,8157.038300950975,16839.947936080494,16062.619832042421,31070.386872547497,13114.830742766917,40533.26771205304,24326.047540057443
DG_F3_019,1,0,0,7016.7112803576365,8109.855861845945,20224.576761720455,12682.527120374998,28578.429301232423,17640.87406214646,42115.10197813059,20976.487398015335
DG_F3_020,1,0,0,6195.617179417196,3352.0620676411636,16846.802907358513,8626.538052518456,25762.66171887036,6882.248217513838,37595.8058340249,10802.377644955526
DG_F3_022,1,0,0,3805.9773564415937,4345.355089544804,12386.395228239737,10734.955144666561,21554.375610599487,14879.514717511827,27199.668330188044,17304.362199151445
DG_F3_024,1,0,0,7067.915109588321,5680.958047119731,20432.817436924306,13770.094742259163,32961.14257766364,18702.623681161633,45991.009124709104,23574.354479070877
DG_F3_028,1,0,0,7367.731173879369,4928.761288497664,21371.556205874396,11901.109375728416,32240.051150833664,19718.133813655542,41568.08392359269,24977.622959885884
DG_F3_032,1,0,0,7249.755569374624,6242.586653833951,21346.634307568605,16815.159292064393,38651.87625363241,23928.77119812049,54312.00871932796,29384.99005009033
DG_F3_033,1,0,0,9933.025806602764,7340.059323867163,26931.598443604544,16545.007850871385,44630.51328500635,25666.67253440744,67725.67761173751,26994.143426067112
DG_F3_038,1,0,0,6119.806351221314,5033.279687653907,17937.117496110925,11679.043052303094,27368.400787478884,14736.621440101215,37763.93178662501,18354.60400590589
DG_F3_040,1,0,0,7511.35756436142,5020.164252087595,21760.396059953626,11388.370863989157,35960.964354669755,15518.541264473286,51085.25031741688,19045.239011474565
DG_F3_042,1,0,0,6012.718492296262,6757.677036007652,19656.695293380635,16621.08535474729,33831.05085969406,22092.195726212154,41604.1251913983,27016.69021950573
DG_F3_049,1,0,0,4955.56428523095,5462.051315694939,13149.381496785154,12439.19855068111,19729.79158542386,17579.358946455162,25350.42799447081,21040.899669344275
DG_F3_051,1,0,0,5483.487543281152,5368.036722344477,19317.122758516285,13881.648625418988,30688.558394076987,20721.753887797706,45230.75129446831,27849.443588899685
DG_F3_054,1,0,0,7440.274935359328,5505.02225746392,22431.909503518305,13803.674261212365,37198.40241387657,20458.25917835954,42924.83006589928,22289.298118744726
DG_F3_056,1,0,0,9049.002964823772,6169.602226103277,26398.250288145402,13930.13123822895,43379.099686837755,22448.244116505146,54409.14266300745,21122.927822046888
DG_F3_057,1,0,0,4249.155719012535,3463.061310589518,12413.849320879175,8555.952688853871,23152.446168081005,10673.514397839299,33374.60310908842,16210.188128437929
DG_F3_059,1,0,0,5479.79657262867,5222.471784501467,15161.970164711252,13900.496185540358,22958.764923486346,17432.316452264662,35865.54849552313,20268.366503908896
DG_F3_063,1,0,0,8394.802538429263,6205.263148110601,23289.93727432307,14277.381137340537,36619.89874093763,18074.954517921422,52977.77498192738,20434.011538755454
DG_F3_066,1,0,0,6574.885486237257,8024.309371827258,22604.728121643366,16486.033984222686,38105.43720977157,22858.76183922099,49512.473149177895,29232.930389885387
DG_F3_068,1,0,0,6875.984700086969,8038.968885069036,22079.29484188257,19435.020503129726,39272.08710182173,28773.197005145572,54991.55181158026,33333.60175804148
DG_F3_069,1,0,0,6135.591690752121,6926.648072180705,16353.267043904243,15603.660676342079,30887.729738540616,17599.283354150917,47624.65655101624,19594.906086797408
DG_F3_070,1,0,0,5225.902636422735,5280.5288971040445,14842.03480839743,11177.349354512657,26215.736678557347,11963.425202729597,41639.09292905947,15952.064058329739
DG_F3_075,1,0,0,7302.623897119533,10148.224277961712,21622.438945251724,19165.270154594054,35066.2200118354,23516.28620185817,50659.94856072578,20156.873739542796
DG_F3_076,1,0,0,6589.401899623155,6930.735904939475,19125.57689160549,15904.136792895064,32436.86891096427,20069.654882819017,46975.543634497386,21618.012543256205
DG_F3_077,1,0,0,10050.706245252823,5955.087510834657,24772.568806502102,14500.273802755819,38852.18780363595,18014.82214772638,43603.94825462683,18653.79946553437
DG_F3_081,1,0,0,6358.095866692948,4978.304759874899,14460.840698939037,11634.478071848309,21766.739422528462,15605.544205398768,32141.053545640345,19070.282272932895
DG_F3_082,1,0,0,7575.2714109783865,6124.365604502379,21883.011771566835,14099.645310036118,35376.93428492078,20145.48517686914,51083.4286486886,28589.02752232093
DG_F3_085,1,0,0,6658.261883900142,5891.235139009937,14831.253260290481,12461.112215598123,22433.0414534593,20009.530409424857,30662.84386836795,19960.6197685554
