component,Sum Sq,Mean Sq,NumDF,DenDF,F value,Pr(>F),phenotype
Trt,1.5000000000015146,1.5000000000015146,1,1197.999920976758,0.1121549334392101,0.737762613663129,total_fl
Trt:Genotype,3748.1856699436225,6.26786901328365,598,2,0.46864828799320357,0.8807124733741356,total_fl
Trt,27629838.58975294,27629838.58975294,1,1195.9988924021295,9.333213863618871,0.002300183255226537,w_2
Trt:Genotype,831881221.4158137,1391105.7214311266,598,2,0.46990818143381047,0.8800329275950264,w_2
Trt,276699722.0948376,276699722.0948376,1,1195.9993717431903,24.436145410806258,8.774935207166108e-7,w_3
Trt:Genotype,5605954737.904315,9374506.250676112,598,2,0.8278895120014561,0.7004450485612375,w_3
Trt,1184431058.6298401,1184431058.6298401,1,1195.9806826513236,28.51922831769364,1.109558575349461e-7,w_4
Trt:Genotype,31847069902.502365,53255969.73662603,598,2,1.2823195990453031,0.5410534797510406,w_4
Trt,2075571464.711027,2075571464.711027,1,1195.9874785429888,21.542431617679892,3.842597030858158e-6,w_5
Trt:Genotype,87708410071.04524,146669582.0586041,598,2,1.522288919274128,0.4811730938312219,w_5
Trt,12.994816666668081,12.994816666668081,1,1195.9962026313083,12.242808488284517,4.8421726029619427e-4,shoot_w
Trt:Genotype,544.0796209277046,0.909832142019573,598,2,0.857180286336996,0.6878731862847758,shoot_w
Trt,0.546016666666907,0.546016666666907,1,1194.990229859463,12.217738023160969,4.90714993124891e-4,root_w
Trt:Genotype,21.20775566407063,0.03546447435463316,598,2,0.7935575656307706,0.715635948555519,root_w
