Orthogroup	Arabidopsis	Hap1_v1.5_protein_chr16	Hap1_v1.5_protein_chr8
OG0029746	ATCG00500.1|PACid_19637947		
OG0029747	ATCG00510.1|PACid_19637948		
OG0029748	ATCG00600.1|PACid_19637955		
OG0029749	ATCG00210.1|PACid_19637956		
OG0029750	ATCG00660.1|PACid_19637959		
OG0029751	ATCG00740.1|PACid_19637960		
OG0029752	ATCG00640.1|PACid_19637962		
OG0029753	ATCG01020.1|PACid_19637963		
OG0029754	ATCG01060.1|PACid_19637964		
OG0029755	ATCG00800.1|PACid_19637966		
OG0029756	ATCG00710.1|PACid_19637967		
OG0029757	ATCG00590.1|PACid_19637968		
OG0029758	ATCG00520.1|PACid_19637971		
OG0029759	ATCG00070.1|PACid_19637972		
OG0029760	ATCG00700.1|PACid_19637973		
OG0029761	ATCG00480.1|PACid_19637975		
OG0029762	ATCG00080.1|PACid_19637976		
OG0029763	ATCG00430.1|PACid_19637977		
OG0029764	ATCG00690.1|PACid_19637980		
OG0029765	ATCG00160.1|PACid_19637981		
OG0029766	ATCG00770.1|PACid_19637983		
OG0029767	ATCG00670.1|PACid_19637984		
OG0029768	ATCG00380.1|PACid_19637985		
OG0029769	ATCG00580.1|PACid_19637986		
OG0029770	ATCG00300.1|PACid_19637987		
OG0029771	ATCG00040.1|PACid_19637993		
OG0029772	ATCG00170.1|PACid_19637995		
OG0029773	ATCG01080.1|PACid_19637996		
OG0029774	ATCG00270.1|PACid_19637999		
OG0029775	ATCG01040.1|PACid_19638001		
OG0029776	ATCG00550.1|PACid_19638002		
OG0029777	ATCG00360.1|PACid_19638003		
OG0029778	ATCG00760.1|PACid_19638007		
OG0029779	ATCG00140.1|PACid_19638009		
OG0029780	ATCG00220.1|PACid_19638015		
OG0029781	ATCG01120.1|PACid_19638016		
OG0029782	ATCG00750.1|PACid_19638025		
OG0029783	ATCG01090.1|PACid_19638028		
OG0029784	ATCG00560.1|PACid_19638029		
OG0029785	ATCG00780.1|PACid_19638032		
OG0029786	ATCG00630.1|PACid_19638033		
OG0029787	ATCG00530.1|PACid_19638034		
OG0029788	AT2G32710.1|PACid_19638073		
OG0029789	AT2G40802.1|PACid_19638099		
OG0029790	AT2G38544.1|PACid_19638109		
OG0029791	AT2G39100.1|PACid_19638120		
OG0029792	AT2G41420.1|PACid_19638122		
OG0029793	AT2G27700.2|PACid_19638129		
OG0029794	AT2G22320.1|PACid_19638136		
OG0029795	AT2G11851.1|PACid_19638147		
OG0029796	AT2G11405.1|PACid_19638153		
OG0029797	AT2G45434.1|PACid_19638160		
OG0029798	AT2G03840.1|PACid_19638173		
OG0029799	AT2G24513.1|PACid_19638179		
OG0029800	AT2G33006.1|PACid_19638187		
OG0029801	AT2G33520.1|PACid_19638193		
OG0029802	AT2G40160.2|PACid_19638220		
OG0029803	AT2G01940.3|PACid_19638227		
OG0029804	AT2G47730.1|PACid_19638230		
OG0029805	AT2G05786.1|PACid_19638237		
OG0029806	AT2G19310.1|PACid_19638241		
OG0029807	AT2G28420.1|PACid_19638248		
OG0029808	AT2G39110.1|PACid_19638274		
OG0029809	AT2G21237.1|PACid_19638286		
OG0029810	AT2G40233.1|PACid_19638292		
OG0029811	AT2G07684.1|PACid_19638293		
OG0029812	AT2G40330.1|PACid_19638314		
OG0029813	AT2G48100.1|PACid_19638330		
OG0029814	AT2G18750.1|PACid_19638334		
OG0029815	AT2G33435.1|PACid_19638350		
OG0029816	AT2G02440.1|PACid_19638359		
OG0029817	AT2G01330.1|PACid_19638367		
OG0029818	AT2G31865.2|PACid_19638375		
OG0029819	AT2G14210.1|PACid_19638394		
OG0029820	AT2G32290.1|PACid_19638428		
OG0029821	AT2G30925.1|PACid_19638435		
OG0029822	AT2G11005.1|PACid_19638443		
OG0029823	AT2G17480.1|PACid_19638445		
OG0029824	AT2G16190.1|PACid_19638453		
OG0029825	AT2G30470.1|PACid_19638455		
OG0029826	AT2G26320.1|PACid_19638466		
OG0029827	AT2G44110.2|PACid_19638474		
OG0029828	AT2G15440.1|PACid_19638487		
OG0029829	AT2G03565.1|PACid_19638496		
OG0029830	AT2G33270.1|PACid_19638505		
OG0029831	AT2G12462.1|PACid_19638509		
OG0029832	AT2G36854.1|PACid_19638519		
OG0029833	AT2G02795.1|PACid_19638525		
OG0029834	AT2G35270.1|PACid_19638538		
OG0029835	AT2G23640.1|PACid_19638573		
OG0029836	AT2G14390.1|PACid_19638598		
OG0029837	AT2G23920.1|PACid_19638601		
OG0029838	AT2G35733.1|PACid_19638606		
OG0029839	AT2G41233.1|PACid_19638624		
OG0029840	AT2G41082.1|PACid_19638635		
OG0029841	AT2G14206.1|PACid_19638642		
OG0029842	AT2G42950.1|PACid_19638652		
OG0029843	AT2G14750.1|PACid_19638662		
OG0029844	AT2G43210.1|PACid_19638666		
OG0029845	AT2G35670.1|PACid_19638669		
OG0029846	AT2G21610.1|PACid_19638680		
OG0029847	AT2G24683.1|PACid_19638711		
OG0029848	AT2G01023.1|PACid_19638712		
OG0029849	AT2G38100.1|PACid_19638723		
OG0029850	AT2G13623.1|PACid_19638731		
OG0029851	AT2G05915.1|PACid_19638748		
OG0029852	AT2G28610.1|PACid_19638763		
OG0029853	AT2G13463.1|PACid_19638766		
OG0029854	AT2G30940.2|PACid_19638790		
OG0029855	AT2G39180.1|PACid_19638794		
OG0029856	AT2G28426.1|PACid_19638810		
OG0029857	AT2G39320.1|PACid_19638830		
OG0029858	AT2G35345.1|PACid_19638846		
OG0029859	AT2G32550.1|PACid_19638847		
OG0029860	AT2G29263.1|PACid_19638868		
OG0029861	AT2G29790.1|PACid_19638873		
OG0029862	AT2G19280.1|PACid_19638879		
OG0029863	AT2G33710.2|PACid_19638886		
OG0029864	AT2G06667.1|PACid_19638896		
OG0029865	AT2G17556.1|PACid_19638898		
OG0029866	AT2G20784.1|PACid_19638899		
OG0029867	AT2G22820.1|PACid_19638908		
OG0029868	AT2G26660.1|PACid_19638910		
OG0029869	AT2G16586.1|PACid_19638913		
OG0029870	AT2G17850.1|PACid_19638920		
OG0029871	AT2G29040.1|PACid_19638933		
OG0029872	AT2G05810.1|PACid_19638936		
OG0029873	AT2G46410.1|PACid_19638956		
OG0029874	AT2G19420.1|PACid_19638965		
OG0029875	AT2G25160.1|PACid_19638972		
OG0029876	AT2G36632.1|PACid_19638975		
OG0029877	AT2G32630.1|PACid_19638978		
OG0029878	AT2G12935.1|PACid_19638982		
OG0029879	AT2G03821.1|PACid_19638983		
OG0029880	AT2G47260.1|PACid_19638986		
OG0029881	AT2G23149.1|PACid_19638992		
OG0029882	AT2G02026.1|PACid_19639000		
OG0029883	AT2G32250.1|PACid_19639004		
OG0029884	AT2G31110.2|PACid_19639008		
OG0029885	AT2G37660.1|PACid_19639013		
OG0029886	AT2G35780.1|PACid_19639027		
OG0029887	AT2G17280.1|PACid_19639031		
OG0029888	AT2G24410.1|PACid_19639045		
OG0029889	AT2G43060.1|PACid_19639058		
OG0029890	AT2G33620.1|PACid_19639069		
OG0029891	AT2G14289.1|PACid_19639077		
OG0029892	AT2G31005.1|PACid_19639088		
OG0029893	AT2G21550.1|PACid_19639093		
OG0029894	AT2G05753.1|PACid_19639101		
OG0029895	AT2G02220.1|PACid_19639113		
OG0029896	AT2G25964.1|PACid_19639115		
OG0029897	AT2G32890.1|PACid_19639137		
OG0029898	AT2G16940.2|PACid_19639148		
OG0029899	AT2G44210.2|PACid_19639165		
OG0029900	AT2G43018.1|PACid_19639175		
OG0029901	AT2G39865.1|PACid_19639177		
OG0029902	AT2G13660.1|PACid_19639182		
OG0029903	AT2G47660.1|PACid_19639191		
OG0029904	AT2G18240.1|PACid_19639211		
OG0029905	AT2G10931.1|PACid_19639225		
OG0029906	AT2G40720.1|PACid_19639228		
OG0029907	AT2G34740.1|PACid_19639234		
OG0029908	AT2G27380.1|PACid_19639237		
OG0029909	AT2G23700.1|PACid_19639243		
OG0029910	AT2G29679.1|PACid_19639247		
OG0029911	AT2G27535.1|PACid_19639252		
OG0029912	AT2G15930.1|PACid_19639255		
OG0029913	AT2G24030.1|PACid_19639258		
OG0029914	AT2G30010.1|PACid_19639272		
OG0029915	AT2G12875.1|PACid_19639276		
OG0029916	AT2G14460.1|PACid_19639282		
OG0029917	AT2G06908.1|PACid_19639286		
OG0029918	AT2G17960.1|PACid_19639291		
OG0029919	AT2G39460.1|PACid_19639295		
OG0029920	AT2G29070.2|PACid_19639301		
OG0029921	AT2G10340.1|PACid_19639305		
OG0029922	AT2G48080.1|PACid_19639309		
OG0029923	AT2G13430.1|PACid_19639310		
OG0029924	AT2G40765.1|PACid_19639311		
OG0029925	AT2G37610.1|PACid_19639324		
OG0029926	AT2G41550.1|PACid_19639331		
OG0029927	AT2G46140.1|PACid_19639333		
OG0029928	AT2G23096.1|PACid_19639338		
OG0029929	AT2G30370.1|PACid_19639352		
OG0029930	AT2G43150.1|PACid_19639362		
OG0029931	AT2G32860.2|PACid_19639367		
OG0029932	AT2G46662.1|PACid_19639369		
OG0029933	AT2G41170.1|PACid_19639389		
OG0029934	AT2G26267.1|PACid_19639399		
OG0029935	AT2G47844.1|PACid_19639400		
OG0029936	AT2G46360.1|PACid_19639406		
OG0029937	AT2G28120.1|PACid_19639445		
OG0029938	AT2G37760.2|PACid_19639447		
OG0029939	AT2G36030.1|PACid_19639451		
OG0029940	AT2G14692.1|PACid_19639453		
OG0029941	AT2G10920.1|PACid_19639482		
OG0029942	AT2G29700.1|PACid_19639485		
OG0029943	AT2G31141.1|PACid_19639501		
OG0029944	AT2G18970.1|PACid_19639505		
OG0029945	AT2G34000.1|PACid_19639525		
OG0029946	AT2G14900.1|PACid_19639526		
OG0029947	AT2G18938.1|PACid_19639527		
OG0029948	AT2G34800.1|PACid_19639529		
OG0029949	AT2G01735.1|PACid_19639536		
OG0029950	AT2G17442.1|PACid_19639542		
OG0029951	AT2G19700.1|PACid_19639553		
OG0029952	AT2G37740.1|PACid_19639556		
OG0029953	AT2G39270.1|PACid_19639567		
OG0029954	AT2G01180.1|PACid_19639572		
OG0029955	AT2G23985.2|PACid_19639590		
OG0029956	AT2G29950.1|PACid_19639599		
OG0029957	AT2G05632.1|PACid_19639607		
OG0029958	AT2G46308.1|PACid_19639622		
OG0029959	AT2G45161.1|PACid_19639626		
OG0029960	AT2G18090.1|PACid_19639630		
OG0029961	AT2G35890.1|PACid_19639633		
OG0029962	AT2G27250.3|PACid_19639635		
OG0029963	AT2G30766.1|PACid_19639648		
OG0029964	AT2G03180.1|PACid_19639664		
OG0029965	AT2G35650.1|PACid_19639665		
OG0029966	AT2G03822.1|PACid_19639671		
OG0029967	AT2G32460.1|PACid_19639672		
OG0029968	AT2G22520.1|PACid_19639676		
OG0029969	AT2G15029.1|PACid_19639678		
OG0029970	AT2G33570.1|PACid_19639680		
OG0029971	AT2G22905.1|PACid_19639700		
OG0029972	AT2G18500.1|PACid_19639705		
OG0029973	AT2G13547.1|PACid_19639706		
OG0029974	AT2G32370.1|PACid_19639708		
OG0029975	AT2G30032.1|PACid_19639710		
OG0029976	AT2G25090.1|PACid_19639712		
OG0029977	AT2G07728.1|PACid_19639729		
OG0029978	AT2G28590.1|PACid_19639741		
OG0029979	AT2G19180.1|PACid_19639743		
OG0029980	AT2G37950.1|PACid_19639757		
OG0029981	AT2G28570.1|PACid_19639767		
OG0029982	AT2G26100.1|PACid_19639778		
OG0029983	AT2G32790.1|PACid_19639779		
OG0029984	AT2G16881.1|PACid_19639782		
OG0029985	AT2G34100.1|PACid_19639789		
OG0029986	AT2G36916.1|PACid_19639797		
OG0029987	AT2G22942.1|PACid_19639798		
OG0029988	AT2G41231.1|PACid_19639810		
OG0029989	AT2G36610.1|PACid_19639813		
OG0029990	AT2G44198.1|PACid_19639816		
OG0029991	AT2G27840.1|PACid_19639825		
OG0029992	AT2G01880.1|PACid_19639828		
OG0029993	AT2G03930.2|PACid_19639835		
OG0029994	AT2G32770.3|PACid_19639836		
OG0029995	AT2G13550.1|PACid_19639867		
OG0029996	AT2G13820.1|PACid_19639870		
OG0029997	AT2G48130.1|PACid_19639872		
OG0029998	AT2G11773.1|PACid_19639894		
OG0029999	AT2G42930.1|PACid_19639916		
OG0030000	AT2G34540.2|PACid_19639919		
OG0030001	AT2G34270.1|PACid_19639921		
OG0030002	AT2G01580.1|PACid_19639926		
OG0030003	AT2G46375.1|PACid_19639940		
OG0030004	AT2G37540.1|PACid_19639950		
OG0030005	AT2G30430.1|PACid_19639961		
OG0030006	AT2G13126.1|PACid_19639984		
OG0030007	AT2G14810.1|PACid_19639987		
OG0030008	AT2G44925.1|PACid_19640000		
OG0030009	AT2G25990.1|PACid_19640037		
OG0030010	AT2G48110.1|PACid_19640044		
OG0030011	AT2G31218.1|PACid_19640059		
OG0030012	AT2G37750.1|PACid_19640063		
OG0030013	AT2G22450.1|PACid_19640067		
OG0030014	AT2G38790.1|PACid_19640077		
OG0030015	AT2G41100.1|PACid_19640093		
OG0030016	AT2G23171.1|PACid_19640107		
OG0030017	AT2G14285.1|PACid_19640124		
OG0030018	AT2G36881.1|PACid_19640160		
OG0030019	AT2G27270.1|PACid_19640163		
OG0030020	AT2G10970.1|PACid_19640166		
OG0030021	AT2G34238.1|PACid_19640171		
OG0030022	AT2G35770.1|PACid_19640176		
OG0030023	AT2G25409.1|PACid_19640186		
OG0030024	AT2G38470.1|PACid_19640205		
OG0030025	AT2G05260.1|PACid_19640206		
OG0030026	AT2G06020.1|PACid_19640221		
OG0030027	AT2G19290.1|PACid_19640235		
OG0030028	AT2G24040.1|PACid_19640242		
OG0030029	AT2G43371.1|PACid_19640243		
OG0030030	AT2G01740.1|PACid_19640245		
OG0030031	AT2G46610.1|PACid_19640258		
OG0030032	AT2G07779.1|PACid_19640271		
OG0030033	AT2G44304.1|PACid_19640279		
OG0030034	AT2G39520.1|PACid_19640282		
OG0030035	AT2G28507.1|PACid_19640286		
OG0030036	AT2G36440.1|PACid_19640287		
OG0030037	AT2G13422.1|PACid_19640297		
OG0030038	AT2G11522.1|PACid_19640303		
OG0030039	AT2G03710.1|PACid_19640308		
OG0030040	AT2G18480.1|PACid_19640324		
OG0030041	AT2G07772.1|PACid_19640326		
OG0030042	AT2G05294.1|PACid_19640339		
OG0030043	AT2G07721.1|PACid_19640341		
OG0030044	AT2G34655.1|PACid_19640361		
OG0030045	AT2G40081.1|PACid_19640362		
OG0030046	AT2G39120.1|PACid_19640369		
OG0030047	AT2G36695.1|PACid_19640375		
OG0030048	AT2G08986.1|PACid_19640384		
OG0030049	AT2G10440.1|PACid_19640390		
OG0030050	AT2G26360.1|PACid_19640395		
OG0030051	AT2G14870.1|PACid_19640397		
OG0030052	AT2G32765.1|PACid_19640398		
OG0030053	AT2G19300.1|PACid_19640400		
OG0030054	AT2G38304.1|PACid_19640415		
OG0030055	AT2G38646.1|PACid_19640417		
OG0030056	AT2G44690.1|PACid_19640420		
OG0030057	AT2G10020.1|PACid_19640426		
OG0030058	AT2G10450.1|PACid_19640470		
OG0030059	AT2G39160.1|PACid_19640471		
OG0030060	AT2G17055.1|PACid_19640498		
OG0030061	AT2G24120.1|PACid_19640507		
OG0030062	AT2G47570.1|PACid_19640513		
OG0030063	AT2G31990.1|PACid_19640524		
OG0030064	AT2G33845.1|PACid_19640526		
OG0030065	AT2G40630.1|PACid_19640538		
OG0030066	AT2G45412.1|PACid_19640552		
